68,Stephanie Soo,18.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,3.0,5.0,6.0,10.0,3.0,3.0,3.0,2.0,5.0,6.0,5.0,8.0,"water, giveaway, insta, shop, coldest, eating, biss, free, code, stephanie, shipping, show, blvd, beverly, tinyurl, daily, vlogs, olympic, hills, merch"
69,ONE HORN,7.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,5.0,6.0,22.0,6.0,3.0,4.0,4.0,5.0,7.0,5.0,4.0,2.0,"business, portugal, media, festival, social, nepal, thanks, performance, dance, song, live, watching, performed, share, enjoy, watch, nepali, vlog, band, hope"
70,Benzir Nawaz,8.0,6.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,9.0,3.0,12.0,7.0,2.0,5.0,1.0,7.0,8.0,5.0,4.0,2.0,"dance, kids, inflame, song, fashion, academy, india, rajas, sponsors, life, school, ahmed, kites, edit, bell, venue, thanks, style, saree, club"
73,James Charles,6.0,4.0,14.0,5.0,1.0,2.0,3.0,5.0,2.0,2.0,5.0,14.0,9.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,6.0,"code, james, apparel, sisters, twitter, matte, michael, products, boutique, brush, lashes, videos, sister, makeup, bell, never, brushes, first, sisterhood, team"
74,Perez Hilton,6.0,3.0,6.0,4.0,1.0,2.0,2.0,6.0,3.0,2.0,5.0,12.0,9.0,1.0,4.0,2.0,2.0,4.0,4.0,12.0,9.0,"perez, perezhilton, hilton, twitter, website, podcast, listen, three, kardashian, watch, booker, chris, woods, child, kelly, well, ever, stage, friend, father"
75,Tana Mongeau,6.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,7.0,19.0,8.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0,"tana, merch, itunes, miami, twitter, social, media, business, stream, inquiries, code, products, project, profit, second, tumblr, music, single, back, platforms"
76,beautygloss,9.0,3.0,9.0,10.0,2.0,1.0,3.0,7.0,2.0,1.0,7.0,8.0,12.0,1.0,1.0,2.0,2.0,4.0,9.0,2.0,6.0,"deze, voor, life, happy, eigen, planner, camera, links, social, naar, verder, make, hier, zien, nieuwe, zijn, meer, haar, glam, andere"
78,lionheartx10,3.0,4.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,1.0,14.0,7.0,6.0,3.0,4.0,3.0,4.0,6.0,10.0,5.0,11.0,"check, discord, great, total, campaign, free, feel, twitch, live, overclockers, accessories, leave, prices, parts, monitors, awesome, games, streams, series, warhammer"
79,Knot Me Pretty,9.0,6.0,9.0,21.0,3.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,"hair, list, easy, knot, hairstyle, tips, hairstyles, care, products, videos, skin, pretty, back, braid, find, watch, home, skincare, everyday, guys"
80,Slayy Point,9.0,5.0,3.0,1.0,2.0,1.0,2.0,7.0,4.0,4.0,8.0,14.0,10.0,2.0,4.0,4.0,2.0,5.0,2.0,3.0,6.0,"twitter, watch, talk, videos, mohan, business, mail, life, indians, funny, india, tutorials, hindi, bollywood, indian, change, rewind, foreigners, also, musically"
81,AndreasChoice,7.0,5.0,14.0,13.0,1.0,2.0,2.0,4.0,5.0,1.0,5.0,5.0,6.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,"twitter, comment, andreas, hacks, thumbs, choice, want, hair, routine, products, watching, amazon, makeup, vids, videos, benefit, life, summer, foundation, hairstyles"
82,Michelle Phan,6.0,5.0,16.0,8.0,2.0,2.0,3.0,7.0,3.0,1.0,4.0,6.0,6.0,2.0,2.0,3.0,3.0,5.0,7.0,3.0,5.0,"twitter, make, book, icon, beauty, life, music, blog, products, sponsored, network, hair, cosmetics, find, available, skin, pencil, play, talk, google"
83,Daniela M Biah,9.0,6.0,6.0,11.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,6.0,8.0,2.0,3.0,1.0,3.0,7.0,3.0,5.0,12.0,"twitter, post, forget, every, friday, know, shop, guys, blog, read, comments, jewelry, hope, products, ramadan, beauty, enjoy, primer, outfit, makeup"
86,Anwar Jibawi,6.0,5.0,8.0,3.0,0.0,1.0,1.0,6.0,2.0,1.0,9.0,10.0,10.0,2.0,1.0,1.0,2.0,2.0,11.0,12.0,6.0,"shots, twitter, merch, verticals, studios, rudy, hannah, stocking, family, lele, watch, pons, videos, glazer, cast, awkward, confirmation, watching, find, puppets"
87,Nidhi Chaudhary,6.0,4.0,8.0,14.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,6.0,6.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,10.0,"makeup, twitter, google, matte, nidhi, skin, product, call, plus, mail, affordable, products, foundation, good, india, review, haul, liquid, lips, look"
88,XYZ,6.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,6.0,6.0,4.0,6.0,7.0,6.0,11.0,4.0,5.0,5.0,"milo, left, david, hilton, australia, wing, free, cultural, wars, marxism, label, marxist, discussion, discuss, socialist, well, nazis, australian, ideas, sentencing"
91,Whitney Simmons,7.0,6.0,6.0,6.0,3.0,2.0,3.0,4.0,12.0,1.0,4.0,7.0,6.0,2.0,2.0,2.0,6.0,5.0,7.0,3.0,6.0,"whitney, shop, amazon, code, thank, skincare, supporting, camera, favorite, free, simmons, links, shipping, workout, favorites, necklace, ring, save, link, shopping"
92,FilterCopy,8.0,4.0,6.0,5.0,1.0,1.0,2.0,9.0,1.0,7.0,3.0,14.0,8.0,3.0,5.0,3.0,2.0,6.0,4.0,3.0,4.0,"producer, singh, director, sound, design, cast, assistant, gaurav, attendant, editor, executive, operations, writer, grading, color, casting, pandit, camera, recordist, aces"
93,Luxy Hair,6.0,6.0,12.0,22.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,7.0,"hair, hairstyles, tutorials, extensions, blog, blogs, easy, clip, wedding, braids, reasons, know, comments, look, prom, wear, ways, thin, blend, curls"
94,MAC Cosmetics,5.0,7.0,11.0,8.0,1.0,2.0,5.0,5.0,4.0,2.0,3.0,6.0,7.0,2.0,3.0,4.0,3.0,8.0,6.0,5.0,3.0,"things, pretty, shiny, artist, makeup, party, fashion, show, kiss, senior, week, eyeshadow, look, dimension, looks, extra, lipstick, lips, powder, rose"
95,RIANI - the official channel,9.0,7.0,12.0,5.0,1.0,2.0,3.0,6.0,2.0,2.0,5.0,10.0,11.0,1.0,1.0,3.0,1.0,3.0,9.0,3.0,6.0,"show, fashion, berlin, winter, sich, motto, summer, lookbook, thema, spring, auch, week, casting, unter, dabei, eine, blue, neue, jenny, wurde"
96,This Morning,8.0,9.0,5.0,5.0,2.0,2.0,5.0,3.0,5.0,4.0,4.0,6.0,6.0,2.0,4.0,3.0,8.0,7.0,5.0,5.0,4.0,"morning, people, holly, make, phillip, health, martin, chat, behind, meet, money, save, cook, ruth, every, website, stories, beautiful, tips, fabulous"
97,Estee Lauder,10.0,8.0,14.0,14.0,1.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,6.0,3.0,2.0,3.0,"beauty, skin, night, repair, wear, color, double, serum, advanced, shop, pure, look, makeup, place, stay, foundation, powder, grace, beautiful, fragrance"
98,James Welsh,6.0,4.0,6.0,16.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,4.0,7.0,4.0,4.0,4.0,5.0,7.0,4.0,5.0,5.0,"skin, products, videos, skincare, james, shop, care, cream, routine, links, also, dermatologist, doctor, work, affiliate, brands, discount, opinions, research, everybody"
99,CBS Sunday Morning,7.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,7.0,8.0,14.0,8.0,4.0,5.0,4.0,2.0,5.0,3.0,6.0,6.0,"sunday, morning, news, local, check, times, latest, across, episodes, broadcast, original, nature, access, watch, seasons, free, reporting, shows, full, history"
100,Ludhiana Live,7.0,5.0,3.0,2.0,4.0,2.0,4.0,2.0,3.0,8.0,6.0,12.0,5.0,4.0,6.0,5.0,4.0,6.0,3.0,8.0,5.0,"live, team, news, movie, review, public, reaction, check, people, singh, women, india, punjabi, audience, interview, find, indian, exclusive, army, strike"
103,Louise Pentland,8.0,6.0,5.0,9.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,7.0,7.0,3.0,2.0,3.0,4.0,7.0,7.0,7.0,5.0,"links, louise, business, every, pearl, chat, make, linked, come, videos, feel, never, wednesday, gifts, give, charlotte, blog, upload, darcy, kittens"
104,Douglas Cosmetics,9.0,4.0,10.0,18.0,1.0,3.0,2.0,7.0,1.0,0.0,5.0,6.0,12.0,1.0,2.0,2.0,1.0,2.0,6.0,1.0,6.0,"douglas, google, blog, beauty, make, watch, plus, list, index, eine, tutorial, look, haut, auch, kann, sich, sind, annotation, palette, neue"
105,GIRLZnl,8.0,2.0,7.0,7.0,1.0,0.0,2.0,7.0,2.0,2.0,9.0,10.0,13.0,1.0,1.0,2.0,0.0,2.0,11.0,5.0,8.0,"girlz, twitter, seks, body, website, nikon, deze, camera, naar, moet, subscriber, julia, view, doen, check, voor, nieuwe, sarah, geven, bent"
106,Study in Germany,4.0,3.0,4.0,1.0,2.0,2.0,8.0,4.0,5.0,4.0,2.0,5.0,7.0,0.0,12.0,5.0,3.0,11.0,6.0,3.0,9.0,"germany, studying, experience, vlog, episode, accompany, meet, semester, great, studies, winter, summer, munich, samantha, michael, study, hamburg, anna, stories, film"
107,Good Morning America,12.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,15.0,6.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,"morning, twitter, news, america, good, story, read, full, visit, exclusive, brings, breaking, robin, every, winning, field, george, financial, hitting, others"
108,GivesAMinute,4.0,3.0,5.0,4.0,1.0,2.0,5.0,18.0,3.0,1.0,7.0,9.0,8.0,1.0,1.0,5.0,3.0,6.0,5.0,1.0,6.0,"camera, canon, microphone, minute, mount, rode, gives, lense, lighting, tripod, list, power, gear, tablet, vlog, mark, live, music, cold, wind"
109,Lidl,9.0,3.0,11.0,3.0,0.0,1.0,1.0,6.0,3.0,2.0,8.0,8.0,14.0,1.0,4.0,3.0,0.0,1.0,9.0,1.0,10.0,"twitter, kanal, unseren, sich, mehr, durch, jetzt, kaufen, oder, preis, alles, handball, sind, auch, eine, euch, zeigen, dich, besser, linkedin"
110,Rytmisk Musikkonservatorium / RMC.dk,11.0,2.0,8.0,4.0,1.0,1.0,5.0,6.0,3.0,2.0,6.0,9.0,10.0,1.0,3.0,4.0,2.0,6.0,6.0,2.0,5.0,"hvor, music, research, denne, igen, film, composition, experiment, wors, peter, bach, ikke, verden, alts, reference, dahl, eller, dette, alexander, gone"
111,Les Haras nationaux,11.0,4.0,8.0,3.0,0.0,1.0,5.0,6.0,1.0,6.0,3.0,6.0,8.0,2.0,4.0,4.0,3.0,4.0,13.0,2.0,5.0,"cheval, pour, national, avec, dans, partie, site, formation, grand, voiture, mise, place, formations, conseils, cavalier, hauteur, fran, jeunes, nationale, plus"
112,CG! CHANNEL,9.0,7.0,9.0,8.0,1.0,1.0,3.0,6.0,2.0,3.0,7.0,10.0,11.0,1.0,3.0,2.0,1.0,3.0,6.0,2.0,6.0,"gratis, website, challenge, niet, deze, haar, interview, voor, maand, naar, maar, nieuwe, check, nikon, backstage, issue, alles, mamma, onze, alleen"
115,Tina Gautam,7.0,9.0,21.0,10.0,1.0,3.0,3.0,2.0,8.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,6.0,4.0,3.0,3.0,"cream, splurge, mascara, liquid, look, palette, products, shadow, primer, eyeliner, used, using, color, skin, fiber, lipstick, perfect, eyes, shop, makeup"
117,Indian Fitness League,7.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,14.0,12.0,13.0,6.0,0.0,8.0,2.0,2.0,7.0,3.0,4.0,1.0,"fitness, season, league, indian, contestant, first, every, reality, india, saturday, show, sunday, repeat, watch, coming, september, perform, team, teams, mavericks"
